model,run,stage,meeting,alignscore,minicheck_ft5_mean,minicheck_ft5_supported_ratio,qafacteval_score,rouge1,rouge2,rougeL,bertscore_f1,summary_words
gemini,1,baseline,Bdb001,0.744,0.5528,0.625,0.7275,0.2849,0.0239,0.1187,0.8567,236
gemini,1,baseline,Bed004,0.8123,0.0396,0.0,0.8351,0.3127,0.0328,0.1694,0.8497,176
gemini,1,baseline,Bed005,0.7236,0.4305,0.4375,0.4421,0.2325,0.0402,0.1122,0.8275,388
gemini,1,baseline,Bed006,0.7403,0.5589,0.5714,0.8394,0.3395,0.0559,0.1852,0.8503,206
gemini,1,baseline,Bed009,0.5376,0.3089,0.3333,0.9878,0.2739,0.0586,0.1577,0.8643,182
gemini,1,baseline,Bed011,0.3798,0.0275,0.0,0.0871,0.3203,0.0658,0.1699,0.8497,206
gemini,1,baseline,ES2008c,0.8935,0.4384,0.4286,0.6216,0.3145,0.0716,0.1484,0.8457,225
gemini,1,baseline,ES2008d,0.7027,0.2316,0.2222,0.9006,0.3747,0.1114,0.2216,0.8555,245
gemini,1,baseline,ES2010a,0.6606,0.4599,0.5,1.3962,0.3772,0.0789,0.2349,0.8631,158
gemini,1,baseline,ES2010b,0.7085,0.4815,0.5,0.8217,0.4463,0.0852,0.2034,0.8616,199
gemini,1,baseline,ES2010c,0.7832,0.4824,0.5455,0.9739,0.4593,0.0962,0.2249,0.8635,262
gemini,1,baseline,ES2010d,0.7062,0.3673,0.3333,1.0043,0.3765,0.0807,0.1975,0.8498,192
gemini,1,baseline,covid_0,0.589,0.5615,0.6176,1.2716,0.1939,0.0324,0.1113,0.805,408
gemini,1,baseline,covid_1,0.7101,0.723,0.7647,0.3644,0.1019,0.0136,0.0589,0.812,791
gemini,1,baseline,covid_10,0.5335,0.3812,0.3333,0.8251,0.2997,0.0571,0.1499,0.8419,255
gemini,1,baseline,covid_3,0.3657,0.0533,0.0,0.2966,0.3444,0.0733,0.1854,0.862,202
gemini,1,baseline,covid_5,0.7328,0.4781,0.4286,0.8567,0.3038,0.0769,0.177,0.8412,505
gemini,1,baseline,covid_7,0.7218,0.5145,0.5122,0.5172,0.1703,0.0473,0.1087,0.8113,828
gemini,1,baseline,covid_8,0.671,0.3651,0.3548,0.5429,0.1556,0.0275,0.087,0.8062,712
gemini,1,baseline,education_1,0.7074,0.61,0.7,1.7757,0.4,0.0892,0.198,0.85,305
gemini,1,reflection,Bdb001,0.7969,0.5501,0.5714,0.8714,0.2997,0.0262,0.1303,0.8589,207
gemini,1,reflection,Bed004,0.8598,0.0335,0.0,0.7779,0.2867,0.0206,0.1638,0.8472,162
gemini,1,reflection,Bed005,0.8001,0.3264,0.3077,0.6095,0.2446,0.0383,0.125,0.8291,257
gemini,1,reflection,Bed006,0.7397,0.5589,0.5714,0.8219,0.2791,0.0468,0.1595,0.847,185
gemini,1,reflection,Bed009,0.5376,0.3089,0.3333,0.9878,0.2739,0.0586,0.1577,0.8643,182
gemini,1,reflection,Bed011,0.4479,0.0261,0.0,0.0946,0.3357,0.0719,0.1857,0.8527,180
gemini,1,reflection,ES2008c,0.8933,0.438,0.4286,0.7389,0.3174,0.0723,0.1497,0.8458,222
gemini,1,reflection,ES2008d,0.6978,0.2316,0.2222,0.9006,0.3767,0.112,0.2228,0.8561,245
gemini,1,reflection,ES2010a,0.8337,0.5566,0.5556,1.6757,0.367,0.0906,0.2247,0.8669,144
gemini,1,reflection,ES2010b,0.7103,0.4774,0.5,0.8938,0.4476,0.0855,0.204,0.8617,198
gemini,1,reflection,ES2010c,0.8065,0.5194,0.5455,0.8056,0.4802,0.1061,0.2216,0.8653,225
gemini,1,reflection,ES2010d,0.7477,0.4011,0.375,0.9765,0.3654,0.071,0.1923,0.8502,179
gemini,1,reflection,covid_0,0.6012,0.5501,0.6061,1.2358,0.1949,0.0326,0.1119,0.8049,405
gemini,1,reflection,covid_1,0.7298,0.5389,0.5,0.8426,0.223,0.0217,0.1223,0.8292,190
gemini,1,reflection,covid_10,0.5176,0.2316,0.1667,1.3109,0.2593,0.0299,0.1481,0.8493,142
gemini,1,reflection,covid_3,0.2654,0.0816,0.0,0.4409,0.3599,0.0697,0.1799,0.8617,190
gemini,1,reflection,covid_5,0.7203,0.4264,0.35,0.6828,0.3065,0.0791,0.1791,0.8426,486
gemini,1,reflection,covid_7,0.7241,0.5144,0.5122,0.5212,0.171,0.0475,0.1092,0.8115,824
